core-keeper-dedicated
date,stream,content
2026/04/13 11:07:16,stdout,[1;36mEXECUTING USERMOD[0m

2026/04/13 11:07:11,stdout,"[0;37mSending Discord json: {\"embeds\":[{\"title\":\"Server Stopped\",\"description\":\" stopped\",\"color\":12779520}]}[0m
"
2026/04/13 11:07:11,stderr,/home/steam/scripts/launch.sh: line 61:    77 Killed                  DISPLAY=:99 LD_LIBRARY_PATH="${LD_LIBRARY_PATH}:${STEAMCMDDIR}/linux64/" ./CoreKeeperServer "${params[@]}"

2026/04/13 11:07:08,stdout,PugDatabase initialized 2553 prefabs

2026/04/13 11:07:08,stdout,"BlunderBombExplosionEntity (UnityEngine.GameObject) has RotationAuthoring.rotatePhysics set to true, but no collider is present.
"
2026/04/13 11:07:06,stdout,"Converting 1 root objects for ServerWorld with 334 converters, 7 post-converters in staging world, and 4 post-converters in final world.
"
2026/04/13 11:07:06,stdout,ECSManager: converting authoring data for the server world.

2026/04/13 11:07:06,stdout,ECSManager: converting authoring data.

2026/04/13 11:07:06,stdout,ECSManager: removing worlds from the update loop.

2026/04/13 11:07:03,stdout,No mods have registered for ObjectCreated or ObjectDestroyed callbacks. Disabling ObjectCreatedSystem.

2026/04/13 11:07:02,stdout,StartGameRPCSystem OnCreate

2026/04/13 11:07:01,stdout,New season: Easter

2026/04/13 11:07:00,stdout,or by manually adding both systems to the same group's update list.

2026/04/13 11:07:00,stdout,"Make sure that both systems are in the same system group with [UpdateInGroup(typeof(Unity.Entities.SimulationSystemGroup))],
"
2026/04/13 11:07:00,stdout,This attribute can only order systems that are members of the same ComponentSystemGroup instance.

2026/04/13 11:07:00,stdout,Ignoring invalid [Unity.Entities.UpdateAfterAttribute] attribute on Unity.Entities.CompanionGameObjectUpdateTransformSystem targeting Unity.Transforms.TransformSystemGroup.

2026/04/13 11:06:58,stdout,PugDatabase initialized 2553 prefabs

2026/04/13 11:06:57,stdout,"BlunderBombExplosionEntity (UnityEngine.GameObject) has RotationAuthoring.rotatePhysics set to true, but no collider is present.
"
2026/04/13 11:06:53,stdout,"Converting 2554 root objects for Default World with 334 converters, 7 post-converters in staging world, and 4 post-converters in final world.
"
2026/04/13 11:06:52,stdout,ECSManager: Found 334 converter type(s)

2026/04/13 11:06:52,stdout,Skipping loot mod /home/steam/core-keeper-dedicated/CoreKeeperServer_Data/StreamingAssets/Conf/Loot/Empty.json for loot table Empty (0)

